Description	PHS-30 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 15:34																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	40																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
410	627.1248	596.1142	505.8322	481.5894	440.8569	399.7611	386.4038	347.7352	328.9286	326.5902	328.2687	337.5073	347.7635	353.281	354.4208	353.4043	351.962	343.5442	324.1055	309.6988	281.0142	252.0293	213.7791	186.2522	160.1752	137.8165	112.4844	86.0392	62.2551	42.2883	28.6582	11.3435	0.3934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	644.0506	612.6251	533.9802	505.8499	466.4403	415.247	397.8012	364.423	341.8526	338.39	337.3981	348.0734	359.9675	358.1474	372.141	371.8623	364.5937	356.7875	340.2587	324.1493	296.6484	272.005	225.6827	198.3582	174.1512	151.7552	122.6796	98.7066	72.0172	49.137	34.1119	18.7504	0	0.5421	0.6376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	671.9851	629.0597	557.5807	498.9412	479.0739	434.2924	406.6685	379.7302	364.6289	342.7896	348.7496	359.7855	360.5623	369.849	380.1625	378.8689	374.926	370.2549	357.6824	335.7769	313.0542	285.9386	247.1558	212.4585	188.0967	161.883	132.85	106.1136	79.7927	57.491	39.595	25.4735	8.0203	1.6239	1.2733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	683.71	633.5345	599.7988	540.4287	512.2097	453.3422	415.3249	383.7438	371.7322	365.9738	356.6658	369.7757	376.6712	389.7468	391.0693	395.9422	394.7372	386.2323	375.2828	354.1679	331.6883	298.5251	264.7141	227.0452	202.4732	172.3781	143.3216	114.4851	86.2658	65.0916	46.7941	30.2753	16.8561	2.7085	1.9113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	697.8602	648.1052	582.8433	547.3398	516.7204	468.6493	441.0084	405.005	382.2378	370.6735	376.122	376.1232	383.5349	394.6063	404.8332	412.0679	403.919	401.0101	388.3978	370.8634	346.0954	316.7387	280.7114	242.2177	213.5571	183.3118	155.5318	125.9383	97.1283	72.6851	52.5977	37.3611	23.0724	3.8034	1.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	749.7955	668.3627	616.8059	561.5638	520.635	487.6522	454.0488	414.0516	402.745	379.8931	381.81	388.1708	398.2868	409.5358	413.3466	421.8048	424.0553	415.7435	408.4607	386.4327	359.5004	337.6929	297.378	257.4924	226.0913	197.059	168.5382	137.4667	109.1347	83.1714	59.8642	39.6293	28.2908	11.921	0.6409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	753.5707	711.0037	629.9273	588.013	541.4709	514.3592	470.3713	429.5084	402.9587	393.8113	393.1027	397.0976	411.9041	417.6087	430.9961	438.5445	438.9563	430.1744	421.1586	403.4083	376.4024	344.4895	309.4716	276.8125	240.1502	210.95	180.3582	149.1061	117.3685	89.2673	68.6546	48.2956	34.6749	19.1514	0	0.9709	1.1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	731.7373	729.8715	658.3183	624.9278	569.3932	529.7901	483.6668	441.7016	421.1404	405.0897	405.3013	410.1749	419.7176	428.5823	440.2347	447.7885	449.2091	445.4198	440.0272	415.2465	394.0356	360.6341	327.5489	288.9087	254.3081	223.6166	192.26	160.8264	127.602	99.7203	75.1086	54.2909	39.8522	24.6288	9.0792	2.9224	2.2828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	766.9141	728.3816	689.7514	627.441	576.7691	542.9484	494.3395	459.2316	434.3417	423.0107	406.3824	417.5228	430.1502	437.3607	449.5277	460.4038	460.0584	457.1532	448.1374	431.7931	405.198	375.2321	340.5455	307.1679	269.0018	236.0889	204.4728	171.8189	138.129	110.4642	83.7078	62.2491	43.1601	30.7913	15.6858	4.8945	3.4409	0.4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
428	761.4563	757.5888	707.5082	636.3751	610.1376	560.8438	510.0007	466.8944	444.7527	427.6038	431.8312	422.9641	428.3333	452.071	459.7699	469.3684	473.4323	476.5852	466.3892	445.0396	422.6179	391.992	352.9698	320.9487	285.0785	249.0819	217.1528	181.0188	148.9983	119.4867	93.9554	68.7523	50.9591	38.2071	21.2606	6.8965	3.2618	0.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	825.7215	749.8467	713.7954	666.9837	601.9861	568.8811	519.7116	487.9974	466.2885	435.3753	430.0803	440.8553	443.7758	451.3833	475.5608	480.9161	491.6468	487.0805	481.5285	464.1673	439.1057	404.0922	369.3252	333.5453	302.7685	262.2323	227.7826	190.3274	160.0026	128.8333	101.9698	77.928	58.6122	42.3506	28.1827	11.9518	3.0801	1.2393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
432	821.1159	801.6061	738.8188	671.0349	634.164	583.7508	536.9749	504.7821	470.9604	451.8445	446.431	439.3086	456.3918	460.2994	482.949	492.509	497.0101	500.0944	496.7296	477.6749	449.6681	418.4633	384.3568	348.7314	313.1939	275.237	237.1665	201.4354	170.4434	138.1425	108.8689	85.5963	65.0133	47.3948	36.2805	20.0703	2.8928	2.6394	1.6283	0	0	0	0	0	0	0	0	0	0	0	0	0	0
434	848.4481	809.4408	767.0557	677.9106	646.7515	595.0843	558.2836	515.3167	477.6582	459.6993	461.2834	458.9124	463.7998	481.2898	487.1274	496.6091	506.1697	516.8587	505.9082	495.6412	470.9773	433.5924	400.0197	359.2448	327.236	289.8127	246.6415	212.6568	179.9644	147.5472	117.9304	93.0292	71.4468	54.3285	40.7067	26.7354	11.1553	5.0377	3.2738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
