Description	EOS (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 15:27																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	50																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
358	380.9714	348.2501	293.9325	260.518	238.5702	205.7935	205.6842	204.9158	200.9191	181.7281	171.1249	154.8867	144.9629	120.0341	106.8233	96.7387	85.1472	70.9622	55.6219	34.2283	23.3038	2.7863	0.9034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	418.5878	342.1619	313.6644	273.0635	239.3119	211.8206	203.5587	205.7155	208.7498	195.1129	182.9208	168.3579	152.0647	132.4635	119.7111	109.3713	97.7704	83.1425	69.031	49.087	29.2649	14.6176	0.4418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	428.9061	353.1051	317.5813	270.5529	240.7881	226.7736	223.3527	212.3724	213.3073	202.8348	194.3928	179.0739	168.8915	152.0503	132.8587	121.9437	109.772	97.3734	82.3723	56.6833	36.6864	21.1845	0	1.8827	2.1709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	461.4789	378.8345	327.916	278.132	261.9412	236.6387	233.3679	227.1835	223.2649	213.8148	207.6473	193.8752	183.4874	165.2751	152.8876	134.0755	121.3559	115.0448	95.2695	70.649	47.3738	32.1148	14.1719	5.5598	4.2737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	451.2514	366.2781	331.1199	289.0198	258.1646	244.787	238.7217	237.1203	239.8554	220.6505	224.2764	207.2786	196.7086	187.2765	168.6592	145.8866	136.4878	132.2281	107.811	84.4045	58.7369	40.1165	25.236	9.1268	6.3138	1.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	456.5671	391.463	343.6977	317.5025	286.5844	261.5628	258.5095	248.508	250.298	233.9029	233.4963	222.9248	218.0031	200.1812	189.9657	157.4107	153.1378	144.1652	120.3428	97.7951	72.2985	47.146	29.4837	12.5926	7.2245	2.6272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	482.0473	421.1469	372.7088	308.6115	292.6307	267.2155	265.6034	263.9777	258.8581	251.1206	243.9447	237.6827	237.1488	219.1375	207.21	188.5737	169.2508	155.6996	133.081	110.7624	88.2801	59.4959	40.0803	20.9651	8.1056	3.8827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	526.1781	429.8618	384.208	338.8156	316.3503	284.7722	282.6207	276.6287	278.3253	268.0625	263.4019	256.531	246.7263	241.7643	225.7331	210.6453	185.7775	168.3026	146.1398	128.5666	105.2079	71.2967	49.3296	32.5319	9.003	6.8721	3.5382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	552.5127	467.6349	395.9771	355.2906	332.494	302.3738	299.4687	297.7624	288.1154	288.5078	283.8582	279.7012	273.737	264.3334	248.247	230.551	201.9521	185.5742	168.1523	150.5923	121.7925	88.4384	58.8932	40.5442	21.932	11.5305	7.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	557.8357	484.2985	413.8596	376.5251	358.3661	329.199	315.3424	306.9073	310.6411	297.2774	302.6126	297.6506	298.8222	283.4808	268.6899	251.9405	226.2293	206.8953	189.5483	169.3806	137.9131	102.585	72.0644	48.724	30.5036	16.0801	10.3942	2.9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	609.1548	496.6684	455.2848	414.6879	372.8151	352.0008	342.8296	331.259	330.7025	321.1741	323.311	321.2799	319.9764	310.1713	295.3293	274.0031	249.3797	227.5189	210.2652	187.5665	153.5232	120.258	85.0778	56.8388	42.5	20.5086	13.5114	5.7345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	646.3846	537.658	478.9298	424.6593	404.0706	365.6932	359.3355	352.8888	352.4774	333.7991	348.2481	342.0335	345.1404	335.1883	318.3267	293.8052	274.6086	247.6029	227.8457	203.9278	168.7264	137.4877	98.0539	70.8622	52.1255	30.1204	16.5504	8.4979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
