Description	SOS (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 14:39																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	30																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
402	488.7081	425.2395	359.5393	334.1701	307.8196	289.2364	258.7533	247.7167	237.886	236.1758	245.6122	255.7752	258.3062	264.9541	266.7844	259.1938	246.1296	234.2991	216.3079	197.2222	171.2007	150.0737	130.1067	109.505	88.7274	68.3115	52.0805	33.4829	20.7055	10.2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	499.2308	433.4786	388.6002	350.9693	326.5267	290.2509	275.3995	253.1609	244.3837	244.9817	251.5879	261.7788	272.0953	276.5463	277.2637	270.7248	257.3063	244.9542	230.2488	208.3773	186.4991	159.9574	138.68	117.9993	96.5026	76.0416	57.6351	40.2745	25.5277	15.7142	3.0488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	505.0232	445.2774	393.4918	367.3906	337.8007	310.3308	292.4454	264.8335	260.9215	252.9355	262.0547	274.4131	281.2653	286.0453	291.1328	285.8295	273.1315	263.2896	244.7501	223.4465	199.0573	170.0555	147.4761	125.9262	104.3549	83.8482	64.7539	45.7108	29.2617	19.8909	6.8597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	531.9244	474.0389	405.0116	381.0393	360.7806	323.684	300.1389	275.2893	272.1743	265.8991	272.7335	285.4961	292.1655	300.7845	303.219	295.8432	289.1012	275.5684	256.5461	234.6963	211.8851	182.8136	156.5088	134.0523	112.2941	91.7763	71.8249	51.8912	34.5534	23.3243	13.2931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	531.8384	497.9067	437.8967	400.4944	369.7484	342.8567	306.222	287.3944	278.7043	275.5243	281.5214	293.3312	307.7611	310.2331	312.0302	310.5076	300.3103	287.5082	269.3868	247.9539	224.8829	197.6925	165.5192	142.0839	120.2131	100.5848	79.33	59.177	42.7502	26.731	17.3103	5.5101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	584.6515	493.6237	445.5772	419.3386	381.2855	347.4926	319.2969	301.8191	286.8441	282.0688	290.3229	307.8575	312.2526	318.8656	326.934	325.078	314.3654	299.3708	284.5647	264.2991	237.6674	210.9245	174.5205	150.9868	129.9298	110.2792	86.822	67.4645	48.0584	33.0824	22.2333	10.718	0	0.0935	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	601.922	518.7456	463.2389	434.4283	401.113	362.4555	331.6672	310.5199	295.1759	286.3829	300.0919	308.304	322.4042	328.9896	337.4413	336.7055	329.3674	314.7795	300.0062	277.2501	250.5889	221.745	190.6563	160.7854	139.6245	117.7195	94.2956	73.1571	54.2266	37.3461	25.1703	15.4982	2.5902	0.2802	0.2197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	568.6967	544.1676	488.0619	442.6361	410.9546	373.5992	340.2537	314.7922	307.7057	304.2685	305.8738	317.8172	329.256	343.9651	343.9849	348.6827	342.1274	331.1399	313.4591	291.2804	264.7325	236.0097	206.1179	170.9513	149.6383	125.4266	101.9828	78.6882	61.014	43.4279	29.4065	18.8603	9.4067	0.4673	0.3298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	631.7526	557.358	496.5737	461.0906	424.9799	385.4458	349.9593	325.1424	315.6145	310.5446	314.9319	330.5857	339.0603	352.0261	358.4617	362.6001	353.2879	343.1764	324.2002	306.7192	277.5054	247.4201	215.7075	181.5537	157.7825	133.453	110.8882	87.0407	65.5965	49.1456	33.8936	23.8943	13.5039	0.6562	0.2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	654.3103	554.7917	514.7607	475.9797	444.6345	398.3793	368.142	340.5672	328.2401	319.369	322.7615	337.5313	352.3586	359.7563	369.7794	375.6174	368.4424	356.3781	340.3269	317.1939	289.7375	258.4005	228.2883	192.2265	166.9405	143.4434	120.1145	95.448	72.9769	54.5227	39.5137	26.6018	17.1843	5.8542	0.1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
