Description	E1-2.5																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 12:53																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	10																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
396	68.9066	67.9989	59.3086	51.5403	46.0661	36.414	35.6353	33.4704	31.3938	32.0204	32.9764	32.4916	34.1986	34.1951	32.4276	30.4529	27.7401	25.6527	23.3878	19.2297	15.8446	13.6492	11.049	8.751	6.697	4.5135	1.651	0.1755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	77.5844	72.149	58.2357	46.6883	45.2206	39.7703	36.9042	34.0775	32.615	32.4607	32.4505	34.8663	34.6561	35.1181	33.549	31.7194	29.795	27.4291	24.4153	21.1212	17.0069	14.6192	11.9127	9.6729	7.5373	5.1114	2.7054	0.5741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	81.5356	65.9008	60.2074	54.7798	45.7832	43.5564	38.6906	35.5676	34.3612	32.3376	33.9325	35.9169	35.1995	36.3586	35.7029	32.7237	31.3258	28.5745	26.4851	23.285	18.1609	15.4931	12.8428	10.5904	8.3716	6.5934	3.7368	1.0635	0.1775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	78.2477	72.9866	63.5336	54.0724	48.4915	44.322	37.9791	35.1305	34.9031	34.5625	36.0232	36.2094	37.0215	37.8226	36.7796	34.0441	32.1158	30.7538	27.6706	24.904	20.3554	16.3326	13.7426	11.4859	9.1843	6.9102	4.5687	2.4633	0.5856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	79.6656	70.5885	64.6639	57.8074	50.342	45.0399	41.5848	36.6739	35.9955	36.1811	37.8063	37.503	37.9107	38.5715	38.7556	36.2728	33.4258	32.144	28.9375	25.9409	21.6174	17.1625	14.6368	12.3717	9.9881	7.768	5.4179	2.9963	0.7165	0.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	96.3165	74.6853	67.3958	62.1271	53.7225	45.4051	43.1007	39.571	37.2212	36.9236	37.7944	39.0037	39.5155	40.1816	39.1273	38.633	34.1489	33.1795	30.5748	27.0142	23.3981	18.0166	15.552	13.1891	10.8184	8.6327	6.3848	3.7712	1.7262	0.5307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408	90.3227	77.4615	68.6784	58.8988	55.2197	47.514	42.0133	40.4362	39.0552	38.4131	39.093	40.2935	40.6541	41.9796	40.8012	38.9204	37.1429	34.3637	31.3276	28.6836	25.4831	20.723	16.4917	14.027	11.695	9.5091	7.3792	4.6911	2.1489	1.2253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	84.9327	84.5358	70.4429	65.0425	57.5813	47.1508	43.4298	38.8006	39.6293	38.6033	40.3485	41.2715	42.5444	43.1364	42.0395	40.5975	38.8692	36.5131	33.7635	29.6955	26.8254	22.476	17.4284	14.893	12.5691	10.4619	8.1635	5.5911	3.4181	1.2169	0.0508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	88.255	88.099	73.8168	68.4814	57.5033	51.0529	44.7923	40.8261	38.9742	39.9414	40.6366	42.703	43.1741	44.2643	42.9524	41.183	39.8167	37.2819	34.7178	31.9994	28.1833	24.7728	18.3638	15.853	13.5998	11.4915	8.946	7.1892	4.3643	2.1175	0.9275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	94.3682	83.2601	72.0192	66.1175	59.2283	51.9117	47.0569	43.5848	41.3035	39.0791	42.5314	42.8504	43.6311	43.6087	44.072	43.3297	40.8012	38.7357	34.9688	32.5995	29.4793	25.9252	20.9458	16.8904	14.6275	12.267	9.7263	7.0903	4.9077	2.4861	1.1865	0.2589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
