Description	Bog1 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 14:32																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	60																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
408	2388.7965	2171.8233	1984.4702	1777.2548	1677.0394	1536.2482	1444.5054	1358.448	1330.2088	1319.832	1359.8792	1436.4732	1519.2264	1565.8591	1577.699	1561.112	1512.5142	1437.5368	1326.3883	1208.4676	1073.2929	927.2558	797.3331	682.2042	568.8957	460.5481	355.3996	260.988	180.5682	124.6279	79.6421	30.5445	16.2565	5.1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	2402.225	2254.3267	2043.3008	1869.1507	1735.0918	1600.0935	1497.1447	1406.3423	1351.0097	1366.3904	1396.5406	1478.6846	1551.5228	1610.2247	1634.6571	1625.5703	1582.2917	1501.7223	1382.9494	1261.2234	1135.7443	988.3447	839.4954	718.2265	602.5363	498.9609	389.7848	292.2313	211.8232	140.3304	92.2289	49.1807	17.0112	7.6587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	2410.9283	2256.6468	2057.4091	1948.8329	1792.1923	1658.5386	1523.9331	1432.3822	1403.9493	1393.3324	1448.3182	1510.1566	1587.7214	1652.7957	1684.9026	1686.906	1624.8839	1548.3206	1450.1658	1328.379	1188.23	1046.7622	881.6682	757.2808	646.023	542.2444	424.1415	323.9013	234.338	161.9524	111.378	67.4018	17.7647	11.9169	5.0204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	2628.2548	2340.2299	2119.6729	1977.715	1878.2428	1699.5478	1584.9706	1497.3532	1436.3574	1431.4907	1460.8713	1558.2696	1633.7182	1687.2554	1735.5128	1723.9355	1676.9805	1605.9864	1503.6154	1376.3842	1249.725	1091.5084	939.9244	801.3	689.4595	576.4893	458.4443	348.8341	253.4	180.9481	126.5368	80.8827	38.7588	17.8811	10.0266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
416	2631.2758	2401.2058	2184.9274	2042.2544	1910.8119	1764.0427	1639.3524	1524.9045	1477.459	1473.4297	1519.7027	1581.3724	1674.2931	1731.27	1774.1208	1778.7499	1742.2128	1675.6738	1562.3341	1440.9454	1299.339	1155.9345	996.644	847.2217	734.5366	612.0835	493.8235	376.6581	277.546	205.4482	143.1353	92.0663	56.5042	23.8826	15.0527	3.0322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	2663.9395	2414.3766	2237.2236	2114.4217	1948.969	1796.55	1670.3395	1576.0692	1510.6948	1498.8854	1533.5247	1611.5946	1680.5822	1768.3739	1817.124	1827.6336	1796.1472	1738.1113	1626.825	1501.1063	1357.7838	1203.6655	1046.9366	895.3665	772.432	649.2729	531.4523	410.0841	308.306	228.249	157.7332	111.2012	68.859	29.9622	17.1137	6.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	2734.5826	2542.5561	2317.2631	2172.5821	2000.7675	1853.3214	1723.2396	1620.1151	1567.6536	1543.3816	1577.6624	1659.7877	1741.3319	1803.943	1865.8943	1880.5319	1847.9054	1783.5562	1686.4627	1564.3272	1414.35	1256.5943	1100.6956	943.8911	811.553	688.6115	567.7576	443.7539	336.7612	252.6706	179.8593	123.1193	84.8053	45.8952	19.1869	9.1523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	2781.6789	2608.401	2416.9561	2245.4729	2071.9789	1920.4132	1775.4256	1649.695	1570.7932	1568.7582	1594.9271	1677.1802	1766.9863	1836.1868	1885.8014	1926.1186	1896.7905	1859.0882	1740.7765	1628.7136	1475.7358	1307.9094	1149.5008	1000.3078	852.1243	728.4265	599.3776	477.7831	358.1342	271.9728	199.173	139.0069	98.8368	60.7436	21.2774	13.4645	5.0162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	2846.7007	2564.3595	2396.0183	2268.141	2139.9671	1959.3454	1808.7996	1684.4064	1613.2783	1608.4575	1626.54	1706.498	1786.1158	1874.0429	1918.2485	1964.2888	1943.1372	1890.6948	1795.7844	1669.674	1522.2802	1364.6413	1192.4248	1038.2746	893.0156	763.4096	631.2348	512.0743	389.7068	298.3865	221.9523	154.6507	113.387	74.0514	37.0923	19.0304	10.0658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	2879.7626	2641.1891	2491.7057	2283.207	2194.3963	1993.1847	1858.1114	1714.2326	1662.4881	1599.6205	1652.9698	1726.975	1823.7446	1901.4921	1969.8466	2004.9539	1988.2593	1947.7268	1857.5869	1714.2213	1570.5778	1413.4726	1244.5516	1084.0076	935.7659	797.3769	667.3163	544.7756	422.2058	322.8388	241.0865	170.826	125.2829	87.5578	50.9988	24.6727	15.1731	3.1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
