Description	Scan series EEM_1.prn through EEM_53.prn																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 13:32																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	25																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
388	278.3359	229.8878	199.833	179.5477	172.8782	152.0056	148.0826	139.1388	135.2533	136.9839	138.2271	143.7595	146.5531	146.6117	142.8707	132.6532	123.0992	109.8477	94.7982	87.6054	77.9745	64.1279	50.2709	37.9753	26.2124	17.1344	7.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	275.5112	252.2723	219.1375	202.2875	177.3068	167.077	156.0751	145.3389	142.5476	140.2591	145.5359	153.7763	154.8824	155.733	148.1897	143.0087	132.5092	121.0463	106.554	94.8943	83.7716	69.9144	55.8978	42.8143	32.4035	18.9131	11.0965	2.3522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	297.3748	260.5494	228.6997	208.8382	184.5291	172.8095	161.4218	152.4036	152.9483	149.5027	152.1526	161.1821	162.5291	164.4677	162.0962	149.7134	139.5766	127.816	115.9092	101.5691	89.1183	75.2454	61.89	48.8803	35.3783	23.5844	13.3467	6.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	313.7733	281.2491	243.6935	217.2665	200.8756	182.0485	170.1462	159.3264	153.2731	154.1815	159.127	166.9592	170.3561	170.008	169.982	160.2938	148.9825	138.3195	124.2679	108.1533	95.1573	82.0089	68.6089	54.8672	43.4323	29.0406	17.8377	9.8109	0.1645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	314.457	297.8489	253.3798	231.2432	213.3281	193.446	176.9264	163.3873	160.5155	162.8311	163.6376	175.7877	177.8089	180.8882	174.5829	170.569	160.9422	146.617	134.4562	116.8074	102.0337	88.82	75.5047	60.8692	46.6298	34.3298	21.9703	13.2263	4.1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	334.9772	303.3286	276.0447	235.903	225.6654	210.3509	187.5768	173.7255	170.2591	168.3692	172.2507	182.0565	190.2635	186.2623	184.8877	181.3481	169.5785	160.0063	141.2644	127.3232	109.0108	95.8652	82.4607	66.9156	52.8824	40.4313	26.9854	15.9042	8.2768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	388.4625	312.6141	287.5514	252.2312	234.031	216.4587	193.0058	184.6861	179.8769	175.3209	177.8934	187.9737	194.9727	199.1628	197.9545	189.8799	181.0908	169.2469	152.4242	138.4565	115.9412	102.9401	88.567	73.142	59.0939	45.9315	33.1349	19.2792	12.609	3.1564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	380.8218	348.5219	307.4741	263.0687	245.5506	220.993	203.9013	192.198	183.6905	184.0532	186.2245	194.5871	203.1624	207.1013	207.1679	197.2776	191.345	178.8878	160.956	146.4867	126.6519	109.7789	94.4694	79.6298	65.152	51.0294	37.9176	24.629	15.4145	7.0306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	392.1181	344.2871	309.5112	273.9635	250.2558	233.6154	214.6867	200.8859	193.9263	187.7818	196.6799	202.4364	211.7605	215.6093	212.1648	210.4257	199.1911	189.0828	172.2936	156.8251	137.6411	116.5448	100.7559	86.0497	71.1468	56.4304	41.8782	28.9952	18.3164	10.5467	1.0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	403.0689	367.0799	330.5945	286.6301	263.1022	243.6471	218.069	199.8582	199.5413	197.6655	204.2217	214.8276	220.2434	225	226.627	224.8932	208.1467	199.5776	181.5029	165.4343	147.6682	123.469	107.3986	92.1587	77.0102	61.8901	46.9084	33.7255	21.4618	13.9761	4.1414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
