Description	E1-50																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 13:11																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	5																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
416	143.7795	127.7225	111.8315	100.7068	91.9597	79.8132	70.8726	65.1071	60.5942	61.1676	60.9766	64.1577	66.0464	67.1729	67.9359	66.0528	62.5856	58.8061	54.5679	50.2004	44.5929	39.4287	34.1335	28.547	24.8	20.8822	17.0915	13.3261	9.7853	7.3026	5.0547	3.0919	1.3822	0.0008	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
418	143.0327	133.4882	116.0704	103.696	93.9928	81.3086	73.899	66.8382	63.0547	61.3576	62.9044	64.4558	68.3631	69.474	69.354	67.2973	65.2498	61.2032	57.2963	52.0405	46.2299	41.7655	36.0556	30.1901	26.1907	22.2535	18.524	14.6157	11.1074	8.111	5.6224	3.7905	2.0562	0.0012	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	152.163	135.9299	117.1363	107.436	96.6481	85.1391	75.2319	67.7181	65.5138	63.163	64.1477	66.5222	68.758	70.2889	70.6305	69.6597	66.5061	63.285	58.9626	54.8908	48.9012	43.2927	37.9776	31.844	27.6641	23.7803	19.948	15.9138	12.3255	9.1034	6.4807	4.3623	2.8724	0.837	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
422	146.4939	137.378	119.5389	109.504	96.1596	86.5157	78.6564	70.0671	66.7479	64.7953	65.2221	67.0033	70.2311	71.9484	72.5359	71.2664	68.6896	65.2455	61.1713	56.9183	50.9929	45.2974	39.9323	34.268	29.2281	25.3234	21.203	17.2243	13.2662	10.2265	7.5011	4.8557	3.5243	1.8124	0	0.0336	0.0394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	154.068	132.4365	122.0987	112.0063	102.1818	88.882	79.7523	70.6544	66.4828	66.1081	67.5582	69.1305	71.1894	73.663	74.0558	72.8498	70.8719	66.8139	62.9599	58.1768	52.692	46.6742	41.8674	35.9913	30.803	26.693	22.4665	18.5438	14.3574	11.0285	8.1663	5.677	4.0008	2.3801	0.5218	0.1012	0.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	151.6018	142.1866	123.9587	114.4099	102.2688	91.8152	80.0448	74.2157	67.7321	66.6548	66.6005	69.7447	72.8093	73.4491	74.5847	74.2946	72.6045	68.7975	64.9395	60.4245	54.4373	49.4249	43.6802	37.759	32.4413	28.0248	23.8439	19.7402	15.4809	12.2261	9.0515	6.4722	4.5659	3.0579	1.3435	0.1694	0.1191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
428	154.0758	140.5414	129.3512	118.4706	102.886	93.8844	82.5877	73.9306	69.2732	68.6107	68.3191	70.0458	72.5157	74.663	75.6272	76.2137	73.7099	71.2004	66.9066	61.7843	57.169	51.2101	45.0465	39.7005	34.3297	29.4163	25.2751	20.6508	16.642	12.9773	10.1811	7.4662	5.4095	3.5616	1.9939	0.2387	0.0799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	162.6207	145.0103	126.6927	118.0958	105.5954	95.7964	82.4553	76.2067	70.6898	68.2921	69.4238	70.5764	74.5105	76.3915	76.698	76.4564	74.9656	72.9548	68.4569	65.0146	58.9335	53.0566	47.1462	41.1932	35.8738	30.8244	26.3909	21.5719	17.8173	14.0567	10.9381	8.2928	6.17	4.1263	2.5819	0.8936	0.0402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
432	151.7752	145.0017	128.3709	121.1771	109.2098	98.3417	85.4451	75.7179	73.0359	68.913	69.8715	72.2549	74.6443	76.541	78.1087	78.0177	75.6758	74.1034	70.3541	65.4824	60.6641	54.6811	48.2351	42.7624	37.3496	32.2134	27.3219	22.76	18.9596	15.1326	11.8108	8.8809	6.7656	4.7806	3.3533	1.7586	0	0.0513	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
434	157.3149	148.323	136.1289	122.7846	108.9249	97.3877	89.5599	78.3469	72.9321	69.9123	70.6645	71.1178	75.368	76.9248	78.4998	79.6479	76.9962	75.8699	72.0279	67.1338	62.0222	56.3095	49.9927	43.9452	38.8396	33.8722	28.2617	23.96	20.0604	16.2196	12.6227	9.5276	7.3155	5.4037	3.9643	2.5173	0.6207	0.1548	0.1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
