Description	Scan series EEM_1.prn through EEM_53.prn																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	3/5/2013 16:03																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	6																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
378	73.1462	66.7952	57.7447	49.6266	39.5825	35.2295	32.0338	30.1454	30.3266	29.0788	29.0932	29.0819	29.3232	28.0204	25.3946	24.0782	21.1749	18.9583	17.0871	14.4732	11.5583	8.7499	5.9356	3.2181	1.4897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	76.8152	66.6162	61.4616	49.5395	42.2104	35.2552	33.7281	31.4767	31.4814	30.2632	30.0539	31.6011	30.2402	29.4723	27.9927	26.2935	23.4231	20.424	18.2041	15.5783	12.6492	9.9719	7.3303	4.1442	2.0058	0.1847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	78.8082	70.3294	64.1862	50.8899	43.2444	37.4485	34.8589	33.2206	32.6013	31.112	32.509	32.1853	31.6506	30.7879	29.2083	28.2599	25.0522	21.9489	19.3773	16.6946	14.0486	11.2128	8.1557	5.0878	2.7034	1.1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	83.6478	72.4546	60.7708	54.5223	44.4745	39.808	37.4464	34.6648	33.4252	32.7682	33.6476	33.6059	33.5278	31.5259	30.4482	28.5691	26.9376	23.7622	20.5304	17.7919	15.4253	12.4337	9.2636	6.552	3.9097	1.9126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	83.1523	76.7602	63.8231	56.0909	47.3982	40.3742	38.2186	35.7904	34.6602	33.0803	34.0568	35.0375	36.045	34.9168	32.5444	30.7834	28.3418	25.521	21.7444	19.2169	16.765	13.6853	10.3921	7.5965	4.8758	2.725	0.8673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	85.8177	79.2435	67.7319	56.2505	49.4645	43.6592	38.4384	35.9338	35.5081	35.1309	36.1996	36.7717	37.0327	35.7968	34.4514	32.4356	29.9317	27.303	23.0339	20.7073	18.0842	14.8802	11.5543	9.1374	5.9026	3.6854	1.4955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	85.195	80.1255	67.0525	60.8358	49.4562	44.8668	40.7516	38.303	36.9915	36.0173	37.0244	38.1611	38.5754	38.5288	36.6142	34.2221	31.4275	29.0539	24.7544	22.197	19.4028	16.0744	12.7158	9.5781	7.461	4.3523	2.5733	0.4392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
392	89.689	79.6729	70.3645	62.3903	53.6963	47.2777	43.3063	39.8701	38.4866	37.9379	38.7907	39.576	40.9476	39.2569	38.6184	36.3744	33.2976	30.3899	26.9133	23.5443	20.4932	17.1647	13.8944	10.9249	8.0863	5.3179	2.9408	1.3184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	93.9426	80.8023	72.4246	65.0912	54.7202	47.8389	43.0317	40.9426	40.5093	40.7125	39.4215	40.6533	41.5724	40.4946	39.8434	38.3252	34.9694	32.1844	28.8347	24.8729	21.6731	18.4457	15.2054	12.2541	9.6166	6.5872	3.857	2.1642	0.0751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
396	95.0917	84.0407	78.0658	64.5277	57.0216	51.9922	45.3581	41.9027	40.3643	40.9557	40.4244	41.7732	43.2106	42.8561	41.5444	38.9856	36.9639	33.896	30.7967	27.3328	22.9762	19.7397	16.6209	13.5867	10.7445	7.983	4.8654	2.9941	0.7932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398	99.7229	92.7683	81.0078	65.9853	58.6483	51.8826	47.6328	43.2186	42.0259	42.147	42.2173	43.4444	44.2054	44.3787	43.5607	41.5309	38.2576	36.0308	32.2299	28.5915	24.3037	21.1523	18.0502	14.9291	12.0156	9.5354	6.3724	3.4724	2.0642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	104.6348	92.8611	77.1126	69.7208	61.4823	55.3703	48.6101	45.4351	43.337	42.8932	44.1088	44.6816	46.8002	45.6632	46.2258	43.0867	40.1787	37.8819	34.4534	30.6035	25.6219	22.6047	19.4067	16.2709	13.2781	10.1276	7.3502	4.4029	2.7769	0.5292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	111.7339	92.0906	84.0336	73.7526	63.7823	54.2211	50.4231	45.6135	44.9345	44.3097	45.3116	46.3971	47.8388	48.9243	46.7625	45.5874	42.5271	39.9391	36.4668	32.8853	27.7647	24.0059	20.7183	17.5902	14.5072	11.5048	8.8192	5.497	3.4473	1.6585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
